Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2012-022,(6) Complete,181 Fremont,181,Fremont,St,94107,3719,450-518 (68 parcels),6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2013-12-26T00:00:00.000,2014-01-24T00:00:00.000,2014-01-24T00:00:00.000,2020-07-07T00:00:00.000,181 Fremont LLC,,,2014.1399,{'url': 'http://propertymap.sfplanning.org/?search=2014.1399'},"2014.1399W,2014.1399X",2012-12-06T00:00:00.000,Fee Payment,74,0,74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788147745000,-122.406046300999,"{'latitude': '37.788147745', 'longitude': '-122.406046300999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-019,(5) First Construction Document Issued,88 Arkansas,88,Arkansas,St,94107,3953,002,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2016-11-09T00:00:00.000,2018-01-17T00:00:00.000,2018-01-17T00:00:00.000,2020-03-12T00:00:00.000,Patrick McNerney,,,2015-000453PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-000453PRJ'},"2014-003150PPA,2015-000453CND,2015-000453ENV,2015-000453ENX,2015-000453SHD",2016-03-03T00:00:00.000,On-site BMR Project,127,25,102,20.0,0,5,10,8,2,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,37.765350917000,-122.399133961999,"{'latitude': '37.765350917', 'longitude': '-122.399133961999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-038,(4) Site Work Permit Issued,78 Haight St (Parcel U),78,Haight,St,94102,0853,021,5,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2021-09-01T00:00:00.000,2020-07-21T00:00:00.000,,2021-09-01T00:00:00.000,2023-01-01T00:00:00.000,Tenderloin Neighborhood Development Corporation,,"Octavia RSU Associates, L.P.",2019-021893PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-021893PRJ'},,2020-04-01T00:00:00.000,,63,63,0,100,0,52,11,0,0,0,0,0,0,,31,0,32,32,0,32,0,0,32,0,0,0,0,31,0,0,0,0,0,0,0,0,37.773990841000,-122.423848595999,"{'latitude': '37.773990841', 'longitude': '-122.423848595999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-012,(4) Site Work Permit Issued,988 Harrison,988,Harrison,St,94107,3753,148,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-11-30T00:00:00.000,,2019-05-31T00:00:00.000,2021-07-24T00:00:00.000,988 Harrison LLC,,,2014.0832,{'url': 'http://propertymap.sfplanning.org/?search=2014.0832'},"2014.0832CUA,2014.0832E,2014.0832ENX,2014.0832PPA,2014.0832SHD,2014.0832U",2016-02-25T00:00:00.000,On-site BMR Project,90,12,78,13.00,0,0,0,0,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.777664086000,-122.404157098999,"{'latitude': '37.777664086', 'longitude': '-122.404157098999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2000-016,(2) Predevelopment Feasibility,Derek Silva Community,20,Franklin,St,94102,0836,010,5,Hayes Valley,Downtown/Civic Center,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2021-04-01T00:00:00.000,,,2021-04-01T00:00:00.000,2022-10-01T00:00:00.000,Mercy Housing California,,,Not Yet Available,,,,,68,68,0,100,0,36,27,5,0,0,0,0,0,,0,0,0,0,68,0,0,61,7,0,0,0,0,0,0,0,0,0,0,0,0,0,37.774498000000,-122.420698000000,"{'latitude': '37.774498', 'longitude': '-122.420698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-012,(5) First Construction Document Issued,235 Valencia St,235,Valencia,St,94103,3532,019B,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-11-16T00:00:00.000,2019-04-01T00:00:00.000,2019-04-01T00:00:00.000,2020-12-31T00:00:00.000,DDG 235 Valencia Realty LLC,,,2016-007877PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-007877PRJ'},"2016-007877ENV,2016-007877GPR,2016-007877PPA,2016-007877TDM,2016-007877VAR",2018-09-24T00:00:00.000,"On-site BMR Project, Fee Payment",40,5,35,13.00,0,2,1,2,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,37.769201354000,-122.421842347999,"{'latitude': '37.769201354', 'longitude': '-122.421842347999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-080,(5) First Construction Document Issued,681 Florida (2070 Bryant),681,Florida,St,94110,4022,021,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2020-10-01T00:00:00.000,2018-10-23T00:00:00.000,2020-10-21T00:00:00.000,2020-10-21T00:00:00.000,2022-06-01T00:00:00.000,Tenderloin Neighborhood Development Corporation,Mission Economic Development Agency,681 Florida L.P.,2017-014088PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-014088PRJ'},,2018-05-01T00:00:00.000,,130,129,1,99.00,0,44,30,41,14,0,0,13,1,1bd,129,0,0,39,0,39,0,0,60,8,11,0,10,40,0,0,0,0,0,0,0,0,37.761040613000,-122.410547142999,"{'latitude': '37.761040613', 'longitude': '-122.410547142999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-003,(4) Site Work Permit Issued,135 Hyde,135,Hyde,St,94102,0346,002,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-06-28T00:00:00.000,,2019-12-27T00:00:00.000,2022-02-19T00:00:00.000,Elevation Architects,,,2015-015203PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-015203PRJ'},"2015-015203DNX,2015-015203ENV,2015-015203PPA,2015-015203SHD,2015-015203TDM,2015-015203VAR",2018-03-29T00:00:00.000,On-site BMR Project,69,10,59,14.00,0,0,6,4,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,37.782147569000,-122.415965706999,"{'latitude': '37.782147569', 'longitude': '-122.415965706999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-018,(4) Site Work Permit Issued,635 Fulton St,635,Fulton,St,94102,0795,027,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-12-31T00:00:00.000,,2019-07-01T00:00:00.000,2021-08-24T00:00:00.000,802 Franklin LLC,,,2017-007542PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-007542PRJ'},"2017-007542CUA,2017-007542ENV,2017-007542PPA,2017-007542TDM,2017-007542VAR",2018-08-30T00:00:00.000,Fee Payment,17,0,17,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.780042178000,-122.425004534999,"{'latitude': '37.780042178', 'longitude': '-122.425004534999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-004,(5) First Construction Document Issued,1140-1150 Harrison,1140-1150,Harrison,St,94103,3755,023,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-12-05T00:00:00.000,2019-07-16T00:00:00.000,2019-07-16T00:00:00.000,2021-09-08T00:00:00.000,Scott Youdall,,,2016-001738PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-001738PRJ'},"2016-001738CUA,2016-001738ENV,2016-001738GPR,2016-001738PPA,2016-001738PRV,2016-001738TDM,2016-001738VAR",2018-04-26T00:00:00.000,Fee Payment,371,0,371,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.774984321000,-122.407840886999,"{'latitude': '37.774984321', 'longitude': '-122.407840886999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-115,(4) Site Work Permit Issued,5 Thomas Mello Circle,5,Thomas Mello,Cir,94134,4991,075,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,0,New Construction,"Ownership, Rental",,,2020-01-14T00:00:00.000,,2020-07-14T00:00:00.000,2022-09-07T00:00:00.000,Ocean Landing LLC,,,2015-009690PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-009690PRJ'},"2015-009690CND,2015-009690CUA,2015-009690DNX,2015-009690ENV,2015-009690PRV",2016-11-17T00:00:00.000,On-site BMR Project,585,72,513,12.00,0,0,43,20,9,0,0,0,0,,72,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,37.709992501000,-122.393791358999,"{'latitude': '37.709992501', 'longitude': '-122.393791358999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-134,(1) Preliminary Phase,"CP-02 ""Outfield""",,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Candlestick Point,New Construction,Unknown,,2022-04-01T00:00:00.000,,,2022-04-01T00:00:00.000,2023-09-23T00:00:00.000,,,,Not Applicable,,,,,579,58,521,10.0,0,0,0,0,0,0,0,0,0,,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,37.713529810000,-122.385215851999,"{'latitude': '37.71352981', 'longitude': '-122.385215851999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-008,(3) Design with Entitlements Approved,657 Harrison St,657,Harrison,St,94107,3763,100,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2022-02-18T00:00:00.000,2024-04-13T00:00:00.000,One Vassar LLC,,One Vassar LLC,2012.1384,{'url': 'http://propertymap.sfplanning.org/?search=2012.1384'},,2020-02-20T00:00:00.000,Fee Payment,489,0,489,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.783070000000,-122.396370000000,"{'latitude': '37.78307', 'longitude': '-122.39637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-072,(4) Site Work Permit Issued,651 Geary,651,Geary,St,94102,0318,020,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-12-04T00:00:00.000,,2019-06-04T00:00:00.000,2021-07-28T00:00:00.000,Geary Place LLC,,,2014.0482,{'url': 'http://propertymap.sfplanning.org/?search=2014.0482'},"2014.0482C,2014.0482PPA,2014.0482U,2014.0482VAR",2016-07-07T00:00:00.000,On-site BMR Project,52,6,46,12.00,0,1,3,2,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37.786344152000,-122.413955467999,"{'latitude': '37.786344152', 'longitude': '-122.413955467999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-007,(3) Design with Entitlements Approved,400-444 Divisadero St; 1048-1062 Oak St,400,Divisadero,St,94117,1216,"004, 017",5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2021-05-21T00:00:00.000,2023-07-15T00:00:00.000,Genesis CA Development LLC,,,2015-007816PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-007816PRJ'},,2019-05-23T00:00:00.000,On-site BMR Project,184,37,147,20.0,0,18,4,15,0,0,0,0,0,,37,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,0,7,0,0,0,0,37.773273000000,-122.437304000000,"{'latitude': '37.773273', 'longitude': '-122.437304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-064,(4) Site Work Permit Issued,2435-2445 16th,2345-2445,16th,St,94110,3965,052,9,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-12-05T00:00:00.000,,2019-06-05T00:00:00.000,2021-07-29T00:00:00.000,Steve Vettel,,,2014.1201,{'url': 'http://propertymap.sfplanning.org/?search=2014.1201'},"2014.1201ENV,2014.1201ENX,2014.1201PPA,2014.1201SHD,2014.1201U",2016-06-23T00:00:00.000,On-site BMR Project,53,8,45,15.00,0,0,4,3,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.765320874000,-122.411119975999,"{'latitude': '37.765320874', 'longitude': '-122.411119975999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2011-004,(4) Site Work Permit Issued,Parkmerced - Phase IA & 1B,3711,19th,Ave,94132,0,0,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-10-29T00:00:00.000,,1899-12-31T00:00:00.000,,Maximus,,,2008.0021,{'url': 'http://propertymap.sfplanning.org/?search=2008.0021'},"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",2011-02-10T00:00:00.000,"On-site BMR Project, Fee Payment",957,48,909,5.00,0,10,21,11,6,0,0,0,0,,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,37.717010014000,-122.478923092999,"{'latitude': '37.717010014', 'longitude': '-122.478923092999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-013,(1) Preliminary Phase,Pier 70 C2A,,Address not yet assigned,,94107,4113,002,10,Potrero Hill,Potrero Hill,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,100,100,0,100,0,0,0,0,0,0,0,0,0,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,37.758483000000,-122.385555000000,"{'latitude': '37.758483', 'longitude': '-122.385555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-045,(5) First Construction Document Issued,363 6th,363,6th,St,94107,3753,493-597 (105 parcels),6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-10-11T00:00:00.000,2018-03-16T00:00:00.000,2018-03-16T00:00:00.000,2020-10-08T00:00:00.000,Boris Fadeer/ Clara/6th LLC,,,2011.0586,{'url': 'http://propertymap.sfplanning.org/?search=2011.0586'},"2011.0586CND,2011.0586E,2011.0586IKA,2011.0586K,2011.0586PPA,2011.0586U,2011.0586X",2015-10-15T00:00:00.000,On-site BMR Project,104,12,92,12.00,0,3,2,7,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.778048756000,-122.404446690999,"{'latitude': '37.778048756', 'longitude': '-122.404446690999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-094,(1) Preliminary Phase,Mission Bay South Block 12 West,,Address not yet assigned,,94158,8710,006,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,2021-12-01T00:00:00.000,,,2021-12-01T00:00:00.000,2023-12-01T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,145,144,1,99.00,0,0,0,0,0,0,0,0,1,,144,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,37.771045694000,-122.395107363999,"{'latitude': '37.771045694', 'longitude': '-122.395107363999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-029,(5) First Construction Document Issued,2676 Folsom,2676,Folsom,St,94110,3638,012,9,Mission,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-07-23T00:00:00.000,2020-10-12T00:00:00.000,,,2020-10-12T00:00:00.000,2022-04-20T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2020-010870PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-010870PRJ'},,,,10,10,0,100,0,0,2,7,1,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.754480000000,-122.414660000000,"{'latitude': '37.75448', 'longitude': '-122.41466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-005,(5) First Construction Document Issued,3225 24th St,3225,24th,St,94110,6518,029,9,Mission,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-01-21T00:00:00.000,2020-03-25T00:00:00.000,,,2020-03-25T00:00:00.000,2021-11-01T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2020-007841PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2020-007841PRJ'},,,,6,6,0,100,0,4,2,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.752150000000,-122.416880000000,"{'latitude': '37.75215', 'longitude': '-122.41688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-035,(3) Design with Entitlements Approved,3637-3657 Sacramento,3637,Sacramento,St,94118,1018,"012, 020",5,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,2023-07-01T00:00:00.000,,,2020-11-06T00:00:00.000,2022-12-31T00:00:00.000,Sacramento Locust Associates,,,2007.1347,{'url': 'http://propertymap.sfplanning.org/?search=2007.1347'},,2018-11-08T00:00:00.000,Fee Payment,18,0,18,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.765190237000,-122.449169297999,"{'latitude': '37.765190237', 'longitude': '-122.449169297999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-099,(1) Preliminary Phase,"HPSY II-CP, Block 6B",,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Unknown,,2025-12-31T00:00:00.000,,,2025-12-31T00:00:00.000,2027-06-24T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,105,104,1,99.00,0,0,0,0,0,0,0,0,1,,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,37.712401027000,-122.382458174999,"{'latitude': '37.712401027', 'longitude': '-122.382458174999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-034,(5) First Construction Document Issued,2465 Van Ness,2465,Van Ness,Ave,94123,0546,001,2,Marina,Marina,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-06-29T00:00:00.000,2018-12-19T00:00:00.000,2018-12-19T00:00:00.000,2020-06-23T00:00:00.000,DM Development,,,2015-014058PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-014058PRJ'},"2015-014058CUA,2015-014058ENV,2015-014058PPA,2015-014058TDM,2015-014058VAR",2017-12-14T00:00:00.000,Off-site BMR Project (Small Sites)/Fee Payment,41,0,41,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.798224050000,-122.424309063999,"{'latitude': '37.79822405', 'longitude': '-122.424309063999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1981-001a,(5) First Construction Document Issued,South Park Scattered Sites - Park View,102,South Park,St,94107,3775,057,6,Financial District/South Beach,South of Market,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,2020-05-18T00:00:00.000,,,2020-05-18T00:00:00.000,2021-08-01T00:00:00.000,Mission Housing Development Corporation,,Mission Housing Development Corporation,2019-023178PRL,{'url': 'http://propertymap.sfplanning.org/?search=2019-023178PRL'},,,,40,40,0,100,36,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0,0,0,0,0,0,0,0,37.781760000000,-122.394340000000,"{'latitude': '37.78176', 'longitude': '-122.39434', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-086,(4) Site Work Permit Issued,"Block 48, Phase 4 (Blocks D, E, Q)",989,Oakdale,Ave,94124,4591D,0,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,2022-12-01T00:00:00.000,2020-10-05T00:00:00.000,,2022-12-01T00:00:00.000,2024-05-01T00:00:00.000,,,,Not Applicable,,,2015-03-03T00:00:00.000,,73,10,63,14.00,0,0,6,4,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.727974604000,-122.377993663999,"{'latitude': '37.727974604', 'longitude': '-122.377993663999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-050,(3) Design with Entitlements Approved,1200 17th (related to 901 16th),1200,17th,St,94107,3949,002,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,,2018-05-11T00:00:00.000,2020-07-04T00:00:00.000,"Potrero Partners, LLC",,,2011.1300,{'url': 'http://propertymap.sfplanning.org/?search=2011.1300'},"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",2016-05-12T00:00:00.000,Fee Payment,135,0,135,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.765836629000,-122.395688368999,"{'latitude': '37.765836629', 'longitude': '-122.395688368999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-047,(2) Predevelopment Feasibility,937-949 Clay,937,Clay,St,94108,0224,032,3,Chinatown,Chinatown,MOHCD,Big Sites Program,0,Rehabilitation,Rental,2018-07-25T00:00:00.000,2022-10-30T00:00:00.000,,,2022-10-30T00:00:00.000,2023-04-15T00:00:00.000,Chinatown Community Development Center,,,Not yet available,,,,,73,73,0,100,71,0,0,1,1,0,0,0,0,,73,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,42.176670000000,-122.676800000000,"{'latitude': '42.17667', 'longitude': '-122.6768', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-019,(5) First Construction Document Issued,201 Macalla Rd,201,Macalla,Rd,94130,8954,201,6,Treasure Island,Treasure Island/YBI,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2019-06-10T00:00:00.000,2019-11-21T00:00:00.000,2019-11-21T00:00:00.000,2022-01-14T00:00:00.000,,,,2007.0903,{'url': 'http://propertymap.sfplanning.org/?search=2007.0903'},,2019-05-22T00:00:00.000,,124,13,121,10.0,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,37.811966000000,-122.364461000000,"{'latitude': '37.811966', 'longitude': '-122.364461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-121,(6) Complete,3620 Cesar Chavez,3620,Cesar Chavez,St,94110,6568,032,8,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2017-11-02T00:00:00.000,2018-05-21T00:00:00.000,2018-05-21T00:00:00.000,2020-06-30T00:00:00.000,,,,2015-009459PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-009459PRJ'},"2015-009459ENV,2015-009459ENX,2015-009459PPA",2016-04-14T00:00:00.000,Fee Payment,24,0,24,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.748322859000,-122.421910784999,"{'latitude': '37.748322859', 'longitude': '-122.421910784999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-125,(2) Predevelopment Feasibility,CPN-Block 11a,,Address not yet assigned,,94124,0,0,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,2025-02-01T00:00:00.000,,,2025-02-01T00:00:00.000,2026-07-26T00:00:00.000,,,,Not Applicable,,,,,422,21,401,5.00,0,0,0,0,0,0,0,0,0,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,37.714334705000,-122.383713276999,"{'latitude': '37.714334705', 'longitude': '-122.383713276999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-110,(4) Site Work Permit Issued,1270 Mission,1270,Mission,St,94103,3701,021,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-10-17T00:00:00.000,,2020-04-16T00:00:00.000,2022-06-10T00:00:00.000,AGI Avant,,,2014.0926,{'url': 'http://propertymap.sfplanning.org/?search=2014.0926'},"2014.0926DNX,2014.0926GPA,2014.0926MAP,2014.0926PCA,2014.0926PPA,2014.0926SHD,2014.0926U,2014.0926VAR",2016-10-27T00:00:00.000,On-site BMR Project,299,64,235,21.00,0,16,33,12,3,0,0,0,0,,64,0,0,0,0,0,0,0,0,0,0,61,0,0,3,0,0,0,0,0,0,0,37.776807078000,-122.414522787999,"{'latitude': '37.776807078', 'longitude': '-122.414522787999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-023,(4) Site Work Permit Issued,301 6th St,301,6th,St,94107,3753,122,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-03-26T00:00:00.000,,2019-09-24T00:00:00.000,2021-11-17T00:00:00.000,"Reuben, Junius & Rose, LLP",,,2013.0538,{'url': 'http://propertymap.sfplanning.org/?search=2013.0538'},"2013.0538E,2013.0538ENX,2013.0538SHD,2013.0538TDM,2013.0538U",2017-10-05T00:00:00.000,On-site BMR Project,95,13,82,14.00,0,3,5,5,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,37.778441913000,-122.405086420999,"{'latitude': '37.778441913', 'longitude': '-122.405086420999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
